id,tweetid,guid,link,author,title,description,pubdate,source,favorite_count,retweet_count,lang,quoted_text,tweet_type,in_reply_to_screen_name,in_reply_to_user_id,in_reply_to_status_id,retweeted_screen_name,retweeted_user_id,retweeted_status_id,user_id,profile_image_url,user_statuses_count,user_friends_count,user_followers_count,user_created_at,user_bio,user_location,user_verified,
1,1577580905530806272,"https://twitter.com/PT_Transjakarta/statuses/1577580905530806272","https://twitter.com/PT_Transjakarta/statuses/1577580905530806272","PT_Transjakarta","@widya_lau Hai kak, jika kamu sudah tap out di perjalanan sebelumnya, namun saldomu tetap terpotong dua kali di perjalanan yang sama, Silahkan hubungi Customer Care JLI @jaklingkoindonesia (PT JakLingko Indonesia) di nomor WA: 0812-6000-1440. Terima kasih ^WY","@widya_lau Hai kak, jika kamu sudah tap out di perjalanan sebelumnya, namun saldomu tetap terpotong dua kali di perjalanan yang sama, Silahkan hubungi Customer Care JLI @jaklingkoindonesia (PT JakLingko Indonesia) di nomor WA: 0812-6000-1440. Terima kasih ^WY","2022-10-05 04:46:12","TweetDeck",0,0,"in","","reply","widya_lau",1458660915096608773,1577577592626229248,"",0,0,104556071,"https://pbs.twimg.com/profile_images/894410793705365504/gKLX0MkN_normal.jpg",420083,23,478545,"2010-01-13 12:57:02","Akun Twitter resmi PT Transportasi Jakarta. Jika memiliki pertanyaan dapat menghubungi twitter, 1500-102 atau halo TiJe pada apps Tije","Jakarta",1,
2,1577580793035378688,"https://twitter.com/PT_Transjakarta/statuses/1577580793035378688","https://twitter.com/PT_Transjakarta/statuses/1577580793035378688","PT_Transjakarta","@axlent @si_l6_donga Hai kak, jika kamu sudah tap out di perjalanan sebelumnya, namun saldomu tetap terpotong dua kali di perjalanan yang sama, Silahkan hubungi Customer Care JLI @jaklingkoindonesia (PT JakLingko Indonesia) di nomor WA: 0812-6000-1440. Terima kasih ^WY","@axlent @si_l6_donga Hai kak, jika kamu sudah tap out di perjalanan sebelumnya, namun saldomu tetap terpotong dua kali di perjalanan yang sama, Silahkan hubungi Customer Care JLI @jaklingkoindonesia (PT JakLingko Indonesia) di nomor WA: 0812-6000-1440. Terima kasih ^WY","2022-10-05 04:45:45","TweetDeck",0,0,"in","","reply","axlent",83340410,1577577095995150336,"",0,0,104556071,"https://pbs.twimg.com/profile_images/894410793705365504/gKLX0MkN_normal.jpg",420083,23,478545,"2010-01-13 12:57:02","Akun Twitter resmi PT Transportasi Jakarta. Jika memiliki pertanyaan dapat menghubungi twitter, 1500-102 atau halo TiJe pada apps Tije","Jakarta",1,
3,1577575612491124736,"https://twitter.com/ihsani_fauzan/statuses/1577575612491124736","https://twitter.com/ihsani_fauzan/statuses/1577575612491124736","ihsani_fauzan","@DarkOushiza nah iya emang ribetnya itu.. jadi sistem tarif integrasinya tu cashback ke app jaklingko","@DarkOushiza nah iya emang ribetnya itu.. jadi sistem tarif integrasinya tu cashback ke app jaklingko","2022-10-05 04:25:10","Twitter for Android",0,0,"in","","reply","DarkOushiza",1033411952565837824,1577575055063515137,"",0,0,1543429482,"https://pbs.twimg.com/profile_images/1512297854886309890/uh30DaQf_normal.jpg",8051,265,163,"2013-06-24 10:53:45","🚅 🚝","","",
4,1577575525136347136,"https://twitter.com/codefromcloud/statuses/1577575525136347136","https://twitter.com/codefromcloud/statuses/1577575525136347136","codefromcloud","RT @zarqableue: @BisKota_ @PT_Transjakarta Plus orang-orang JakLingko &amp; Transjakarta yang buat sistem baru saldo terpotong pas tap out itu…","@BisKota_ @PT_Transjakarta Plus orang-orang JakLingko &amp; Transjakarta yang buat sistem baru saldo terpotong pas tap out itu apa nggak mikir...bahwa infrastruktur e-ticketing TJ masih jauh di bawah KCI/MRTJ. Masih banyak rute non BRT, masih banyak halte BRT cuma punya 1 gate. Sistem blm beres udh direlease","2022-10-05 04:24:49","Twitter for Android",0,2,"in","","retweet","",0,0,"zarqableue",232741130,1577572964173840387,1426746416089550856,"https://pbs.twimg.com/profile_images/1427494754141437953/7vzTgkWp_normal.jpg",1046,424,8,"2021-08-14 23:23:59","","","",
5,1577575191823396864,"https://twitter.com/BisKota_/statuses/1577575191823396864","https://twitter.com/BisKota_/statuses/1577575191823396864","BisKota_","RT @zarqableue: @BisKota_ @PT_Transjakarta Plus orang-orang JakLingko &amp; Transjakarta yang buat sistem baru saldo terpotong pas tap out itu…","@BisKota_ @PT_Transjakarta Plus orang-orang JakLingko &amp; Transjakarta yang buat sistem baru saldo terpotong pas tap out itu apa nggak mikir...bahwa infrastruktur e-ticketing TJ masih jauh di bawah KCI/MRTJ. Masih banyak rute non BRT, masih banyak halte BRT cuma punya 1 gate. Sistem blm beres udh direlease","2022-10-05 04:23:30","Twitter for Android",0,2,"in","","retweet","",0,0,"zarqableue",232741130,1577572964173840387,1619443765,"https://pbs.twimg.com/profile_images/1330543140105805825/bUlc4FwA_normal.jpg",157045,774,23849,"2013-07-25 00:37:47","transport public user & enthusiast  email : biskota.jakarta@gmail.com telpon/WA bisa DM terlebih dahulu","Jabodetabek","",
6,1577574918317047813,"https://twitter.com/Randomt61609964/statuses/1577574918317047813","https://twitter.com/Randomt61609964/statuses/1577574918317047813","Randomt61609964","@DarkOushiza @PT_Transjakarta Saya jg kaya gtu persis. Apa mesti diaktifin duku kartunya ya? Yg minta ditempel ke BCT itu. Sumpah ribet bgt, mesti download jaklingko, trs download Fello...halahh...padahal lbh gampang balikin aja duitnya tunai, bukti pake histori transaksi.","@DarkOushiza @PT_Transjakarta Saya jg kaya gtu persis. Apa mesti diaktifin duku kartunya ya? Yg minta ditempel ke BCT itu. Sumpah ribet bgt, mesti download jaklingko, trs download Fello...halahh...padahal lbh gampang balikin aja duitnya tunai, bukti pake histori transaksi.","2022-10-05 04:22:25","Twitter for Android",1,0,"in","","reply","DarkOushiza",1033411952565837824,1577559643504906241,"",0,0,1214351016876900352,"https://pbs.twimg.com/profile_images/1214351349057351680/K4g7nr7G_normal.jpg",13543,1678,187,"2020-01-06 20:00:36","Just bunch of random thoughts","","",
7,1577574871953215488,"https://twitter.com/ihsani_fauzan/statuses/1577574871953215488","https://twitter.com/ihsani_fauzan/statuses/1577574871953215488","ihsani_fauzan","@AdinOfficial @dedeww14 @qquartera @PT_Transjakarta di app jaklingko kalo udh tap di BCT masukin kartunya manual pake nomer kartu","@AdinOfficial @dedeww14 @qquartera @PT_Transjakarta di app jaklingko kalo udh tap di BCT masukin kartunya manual pake nomer kartu","2022-10-05 04:22:14","Twitter for Android",0,0,"in","","reply","AdinOfficial",844811042,1577561262040702976,"",0,0,1543429482,"https://pbs.twimg.com/profile_images/1512297854886309890/uh30DaQf_normal.jpg",8051,265,163,"2013-06-24 10:53:45","🚅 🚝","","",
8,1577573898102927360,"https://twitter.com/zarqableue/statuses/1577573898102927360","https://twitter.com/zarqableue/statuses/1577573898102927360","zarqableue","@BisKota_ @PT_Transjakarta Akhirnya penumpang menumpuk &amp; mengular, pernah tes aktivasi kartu bbrp pekan yg lalu, balance reader JakLingko lemot + gate TJ jg lemot.  Masalah lain: banyak yg saldonya kepotong berkali-kali (terutama di rute NBRT kepotong pas tap in &amp; kalau tap out di halte BRT kepotong lagi).","@BisKota_ @PT_Transjakarta Akhirnya penumpang menumpuk &amp; mengular, pernah tes aktivasi kartu bbrp pekan yg lalu, balance reader JakLingko lemot + gate TJ jg lemot.  Masalah lain: banyak yg saldonya kepotong berkali-kali (terutama di rute NBRT kepotong pas tap in &amp; kalau tap out di halte BRT kepotong lagi).","2022-10-05 04:18:21","Twitter for iPhone",1,0,"in","","reply","zarqableue",232741130,1577572964173840387,"",0,0,232741130,"https://pbs.twimg.com/profile_images/1523914070151557120/O2L8LtEc_normal.jpg",2053,881,90,"2010-12-31 23:28:55","","","",
9,1577572964173840387,"https://twitter.com/zarqableue/statuses/1577572964173840387","https://twitter.com/zarqableue/statuses/1577572964173840387","zarqableue","@BisKota_ @PT_Transjakarta Plus orang-orang JakLingko &amp; Transjakarta yang buat sistem baru saldo terpotong pas tap out itu apa nggak mikir...bahwa infrastruktur e-ticketing TJ masih jauh di bawah KCI/MRTJ. Masih banyak rute non BRT, masih banyak halte BRT cuma punya 1 gate. Sistem blm beres udh direlease","@BisKota_ @PT_Transjakarta Plus orang-orang JakLingko &amp; Transjakarta yang buat sistem baru saldo terpotong pas tap out itu apa nggak mikir...bahwa infrastruktur e-ticketing TJ masih jauh di bawah KCI/MRTJ. Masih banyak rute non BRT, masih banyak halte BRT cuma punya 1 gate. Sistem blm beres udh direlease","2022-10-05 04:14:39","Twitter for iPhone",0,2,"in","","reply","BisKota_",1619443765,1577569239904702464,"",0,0,232741130,"https://pbs.twimg.com/profile_images/1523914070151557120/O2L8LtEc_normal.jpg",2053,881,90,"2010-12-31 23:28:55","","","",
10,1577572574795399168,"https://twitter.com/starryshinx/statuses/1577572574795399168","https://twitter.com/starryshinx/statuses/1577572574795399168","starryshinx","Mau tanya dong,moots yg dom jakarta kalau mau beli kartu jaklingko buat naik transjakarta bisa di halte nya langsung gak sih???","Mau tanya dong,moots yg dom jakarta kalau mau beli kartu jaklingko buat naik transjakarta bisa di halte nya langsung gak sih???","2022-10-05 04:13:06","Twitter for Android",0,0,"in","","original","",0,0,"",0,0,1162175014436610048,"https://pbs.twimg.com/profile_images/1553326837626839040/TFFLTBeV_normal.jpg",2862,531,351,"2019-08-15 21:31:42","🤡 akun sambat","","",
