id;link;author;description;source;favorite_count;retweet_count;lang;tweet_type;user_statuses_count;user_friends_count;user_followers_count;boost_value
1;https://twitter.com/PT_Transjakarta/statuses/1577580905530806272;PT_Transjakarta;hai kak jika kamu sudah tap out di perjalanan sebelumnya namun saldomu tetap terpotong dua kali di perjalanan yang sama silahkan hubungi customer care jli pt jaklingko indonesia di nomor wa  terima kasih  ;TweetDeck;0;0;in;reply;420083;23;478545;0
2;https://twitter.com/PT_Transjakarta/statuses/1577580793035378688;PT_Transjakarta;hai kak jika kamu sudah tap out di perjalanan sebelumnya namun saldomu tetap terpotong dua kali di perjalanan yang sama silahkan hubungi customer care jli pt jaklingko indonesia di nomor wa  terima kasih  ;TweetDeck;0;0;in;reply;420083;23;478545;0
3;https://twitter.com/ihsani_fauzan/statuses/1577575612491124736;ihsani_fauzan;nah iya emang ribetnya itu jadi sistem tarif integrasinya tu cashback ke app jaklingko ;Twitter for Android;0;0;in;reply;8051;265;163;0
4;https://twitter.com/codefromcloud/statuses/1577575525136347136;codefromcloud;plus orangorang jaklingko transjakarta yang buat sistem baru saldo terpotong pas tap out itu apa nggak mikirbahwa infrastruktur eticketing tj masih jauh di bawah kcimrtj masih banyak rute non brt masih banyak halte brt cuma punya  gate sistem blm beres udh direlease ;Twitter for Android;0;2;in;retweet;1046;424;8;25
5;https://twitter.com/BisKota_/statuses/1577575191823396864;BisKota_;plus orangorang jaklingko transjakarta yang buat sistem baru saldo terpotong pas tap out itu apa nggak mikirbahwa infrastruktur eticketing tj masih jauh di bawah kcimrtj masih banyak rute non brt masih banyak halte brt cuma punya  gate sistem blm beres udh direlease ;Twitter for Android;0;2;in;retweet;157045;774;23849;0,008386096
6;https://twitter.com/Randomt61609964/statuses/1577574918317047813;Randomt61609964;saya jg kaya gtu persis apa mesti diaktifin duku kartunya ya yg minta ditempel ke bct itu sumpah ribet bgt mesti download jaklingko trs download fellohalahhpadahal lbh gampang balikin aja duitnya tunai bukti pake histori transaksi ;Twitter for Android;1;0;in;reply;13543;1678;187;0,534759358
7;https://twitter.com/ihsani_fauzan/statuses/1577574871953215488;ihsani_fauzan;di app jaklingko kalo udh tap di bct masukin kartunya manual pake nomer kartu ;Twitter for Android;0;0;in;reply;8051;265;163;0
8;https://twitter.com/zarqableue/statuses/1577573898102927360;zarqableue;akhirnya penumpang menumpuk mengular pernah tes aktivasi kartu bbrp pekan yg lalu balance reader jaklingko lemot  gate tj jg lemot masalah lain banyak yg saldonya kepotong berkalikali terutama di rute nbrt kepotong pas tap in kalau tap out di halte brt kepotong lagi ;Twitter for iPhone;1;0;in;reply;2053;881;90;1,111111111
9;https://twitter.com/zarqableue/statuses/1577572964173840387;zarqableue;plus orangorang jaklingko transjakarta yang buat sistem baru saldo terpotong pas tap out itu apa nggak mikirbahwa infrastruktur eticketing tj masih jauh di bawah kcimrtj masih banyak rute non brt masih banyak halte brt cuma punya  gate sistem blm beres udh direlease ;Twitter for iPhone;0;2;in;reply;2053;881;90;2,222222222
10;https://twitter.com/starryshinx/statuses/1577572574795399168;starryshinx;mau tanya dongmoots yg dom jakarta kalau mau beli kartu jaklingko buat naik transjakarta bisa di halte nya langsung gak sih ;Twitter for Android;0;0;in;original;2862;531;351;0
11;https://twitter.com/PT_Transjakarta/statuses/1577561157225041922;PT_Transjakarta;hai kak jika kamu sudah tap out di perjalanan sebelumnya namun saldomu tetap terpotong dua kali di perjalanan yang sama silahkan hubungi customer care jli pt jaklingko indonesia di nomor wa  terima kasih  ;TweetDeck;0;0;in;reply;420083;23;478545;0
12;https://twitter.com/PT_Transjakarta/statuses/1577560815406043136;PT_Transjakarta;hai kak jika kamu sudah tap out di perjalanan sebelumnya namun saldomu tetap terpotong dua kali di perjalanan yang sama silahkan hubungi customer care jli pt jaklingko indonesia di nomor wa  terima kasih  ;TweetDeck;0;0;in;reply;420083;23;478545;0
13;https://twitter.com/nuhundanke/statuses/1577560098192658433;nuhundanke;gmaps buat arah jaklingko buat jaklingko mikro dan brt pun intended moovit buat brt dan non brt untuk kereta ikut masing perusahaan ribet ya ;Twitter Web App;1;0;in;reply;805;833;116;0,862068966
