id;author;description;"boost_value";tokenized;stopword_removed;tweet_stemmed;cleaned_tweet;labeling
1;PT_Transjakarta;hai kak jika kamu sudah tap out di perjalanan sebelumnya namun saldomu tetap terpotong dua kali di perjalanan yang sama silahkan hubungi customer care jli pt jaklingko indonesia di nomor wa  terima kasih  ;"0";['hai', 'kak', 'jika', 'kamu', 'sudah', 'tap', 'out', 'di', 'perjalanan', 'sebelumnya', 'namun', 'saldomu', 'tetap', 'terpotong', 'dua', 'kali', 'di', 'perjalanan', 'yang', 'sama', 'silahkan', 'hubungi', 'customer', 'care', 'jli', 'pt', 'jaklingko', 'indonesia', 'di', 'nomor', 'wa', 'terima', 'kasih'];['hai', 'kak', 'tap', 'out', 'perjalanan', 'saldomu', 'terpotong', 'kali', 'perjalanan', 'silahkan', 'hubungi', 'customer', 'care', 'jli', 'pt', 'jaklingko', 'indonesia', 'nomor', 'wa', 'terima', 'kasih'];['hai', 'kak', 'tap', 'out', 'jalan', 'saldo', 'potong', 'kali', 'jalan', 'silah', 'hubung', 'customer', 'care', 'jli', 'pt', 'jaklingko', 'indonesia', 'nomor', 'wa', 'terima', 'kasih'];hai kak tap out jalan saldo potong kali jalan silah hubung customer care jli pt jaklingko indonesia nomor wa terima kasih;0
2;PT_Transjakarta;hai kak jika kamu sudah tap out di perjalanan sebelumnya namun saldomu tetap terpotong dua kali di perjalanan yang sama silahkan hubungi customer care jli pt jaklingko indonesia di nomor wa  terima kasih  ;"0";['hai', 'kak', 'jika', 'kamu', 'sudah', 'tap', 'out', 'di', 'perjalanan', 'sebelumnya', 'namun', 'saldomu', 'tetap', 'terpotong', 'dua', 'kali', 'di', 'perjalanan', 'yang', 'sama', 'silahkan', 'hubungi', 'customer', 'care', 'jli', 'pt', 'jaklingko', 'indonesia', 'di', 'nomor', 'wa', 'terima', 'kasih'];['hai', 'kak', 'tap', 'out', 'perjalanan', 'saldomu', 'terpotong', 'kali', 'perjalanan', 'silahkan', 'hubungi', 'customer', 'care', 'jli', 'pt', 'jaklingko', 'indonesia', 'nomor', 'wa', 'terima', 'kasih'];['hai', 'kak', 'tap', 'out', 'jalan', 'saldo', 'potong', 'kali', 'jalan', 'silah', 'hubung', 'customer', 'care', 'jli', 'pt', 'jaklingko', 'indonesia', 'nomor', 'wa', 'terima', 'kasih'];hai kak tap out jalan saldo potong kali jalan silah hubung customer care jli pt jaklingko indonesia nomor wa terima kasih;0
3;ihsani_fauzan;nah iya emang ribetnya itu jadi sistem tarif integrasinya tu cashback ke app jaklingko ;"0";['nah', 'iya', 'emang', 'ribetnya', 'itu', 'jadi', 'sistem', 'tarif', 'integrasinya', 'tu', 'cashback', 'ke', 'app', 'jaklingko'];['iya', 'emang', 'ribetnya', 'sistem', 'tarif', 'integrasinya', 'tu', 'cashback', 'app', 'jaklingko'];['iya', 'emang', 'ribetnya', 'sistem', 'tarif', 'integrasi', 'tu', 'cashback', 'app', 'jaklingko'];iya emang ribetnya sistem tarif integrasi tu cashback app jaklingko;-1
4;codefromcloud;plus orangorang jaklingko transjakarta yang buat sistem baru saldo terpotong pas tap out itu apa nggak mikirbahwa infrastruktur eticketing tj masih jauh di bawah kcimrtj masih banyak rute non brt masih banyak halte brt cuma punya  gate sistem blm beres udh direlease ;"25";['plus', 'orangorang', 'jaklingko', 'transjakarta', 'yang', 'buat', 'sistem', 'baru', 'saldo', 'terpotong', 'pas', 'tap', 'out', 'itu', 'apa', 'nggak', 'mikirbahwa', 'infrastruktur', 'eticketing', 'tj', 'masih', 'jauh', 'di', 'bawah', 'kcimrtj', 'masih', 'banyak', 'rute', 'non', 'brt', 'masih', 'banyak', 'halte', 'brt', 'cuma', 'punya', 'gate', 'sistem', 'blm', 'beres', 'udh', 'direlease'];['plus', 'orangorang', 'jaklingko', 'transjakarta', 'sistem', 'saldo', 'terpotong', 'pas', 'tap', 'out', 'nggak', 'mikirbahwa', 'infrastruktur', 'eticketing', 'tj', 'kcimrtj', 'rute', 'non', 'brt', 'halte', 'brt', 'gate', 'sistem', 'blm', 'beres', 'udh', 'direlease'];['plus', 'orangorang', 'jaklingko', 'transjakarta', 'sistem', 'saldo', 'potong', 'pas', 'tap', 'out', 'nggak', 'mikirbahwa', 'infrastruktur', 'eticketing', 'tj', 'kcimrtj', 'rute', 'non', 'brt', 'halte', 'brt', 'gate', 'sistem', 'blm', 'beres', 'udh', 'direlease'];plus orangorang jaklingko transjakarta sistem saldo potong pas tap out nggak mikirbahwa infrastruktur eticketing tj kcimrtj rute non brt halte brt gate sistem blm beres udh direlease;-1
5;BisKota_;plus orangorang jaklingko transjakarta yang buat sistem baru saldo terpotong pas tap out itu apa nggak mikirbahwa infrastruktur eticketing tj masih jauh di bawah kcimrtj masih banyak rute non brt masih banyak halte brt cuma punya  gate sistem blm beres udh direlease ;"0,008386096";['plus', 'orangorang', 'jaklingko', 'transjakarta', 'yang', 'buat', 'sistem', 'baru', 'saldo', 'terpotong', 'pas', 'tap', 'out', 'itu', 'apa', 'nggak', 'mikirbahwa', 'infrastruktur', 'eticketing', 'tj', 'masih', 'jauh', 'di', 'bawah', 'kcimrtj', 'masih', 'banyak', 'rute', 'non', 'brt', 'masih', 'banyak', 'halte', 'brt', 'cuma', 'punya', 'gate', 'sistem', 'blm', 'beres', 'udh', 'direlease'];['plus', 'orangorang', 'jaklingko', 'transjakarta', 'sistem', 'saldo', 'terpotong', 'pas', 'tap', 'out', 'nggak', 'mikirbahwa', 'infrastruktur', 'eticketing', 'tj', 'kcimrtj', 'rute', 'non', 'brt', 'halte', 'brt', 'gate', 'sistem', 'blm', 'beres', 'udh', 'direlease'];['plus', 'orangorang', 'jaklingko', 'transjakarta', 'sistem', 'saldo', 'potong', 'pas', 'tap', 'out', 'nggak', 'mikirbahwa', 'infrastruktur', 'eticketing', 'tj', 'kcimrtj', 'rute', 'non', 'brt', 'halte', 'brt', 'gate', 'sistem', 'blm', 'beres', 'udh', 'direlease'];plus orangorang jaklingko transjakarta sistem saldo potong pas tap out nggak mikirbahwa infrastruktur eticketing tj kcimrtj rute non brt halte brt gate sistem blm beres udh direlease;-1
6;Randomt61609964;saya jg kaya gtu persis apa mesti diaktifin duku kartunya ya yg minta ditempel ke bct itu sumpah ribet bgt mesti download jaklingko trs download fellohalahhpadahal lbh gampang balikin aja duitnya tunai bukti pake histori transaksi ;"0,534759358";['saya', 'jg', 'kaya', 'gtu', 'persis', 'apa', 'mesti', 'diaktifin', 'duku', 'kartunya', 'ya', 'yg', 'minta', 'ditempel', 'ke', 'bct', 'itu', 'sumpah', 'ribet', 'bgt', 'mesti', 'download', 'jaklingko', 'trs', 'download', 'fellohalahhpadahal', 'lbh', 'gampang', 'balikin', 'aja', 'duitnya', 'tunai', 'bukti', 'pake', 'histori', 'transaksi'];['jg', 'kaya', 'gtu', 'persis', 'mesti', 'diaktifin', 'duku', 'kartunya', 'ya', 'yg', 'ditempel', 'bct', 'sumpah', 'ribet', 'bgt', 'mesti', 'download', 'jaklingko', 'trs', 'download', 'fellohalahhpadahal', 'lbh', 'gampang', 'balikin', 'aja', 'duitnya', 'tunai', 'bukti', 'pake', 'histori', 'transaksi'];['jg', 'kaya', 'gtu', 'persis', 'mesti', 'diaktifin', 'duku', 'kartu', 'ya', 'yg', 'tempel', 'bct', 'sumpah', 'ribet', 'bgt', 'mesti', 'download', 'jaklingko', 'trs', 'download', 'fellohalahhpadahal', 'lbh', 'gampang', 'balikin', 'aja', 'duit', 'tunai', 'bukti', 'pake', 'histori', 'transaksi'];jg kaya gtu persis mesti diaktifin duku kartu ya yg tempel bct sumpah ribet bgt mesti download jaklingko trs download fellohalahhpadahal lbh gampang balikin aja duit tunai bukti pake histori transaksi;-1
7;ihsani_fauzan;di app jaklingko kalo udh tap di bct masukin kartunya manual pake nomer kartu ;"0";['di', 'app', 'jaklingko', 'kalo', 'udh', 'tap', 'di', 'bct', 'masukin', 'kartunya', 'manual', 'pake', 'nomer', 'kartu'];['app', 'jaklingko', 'kalo', 'udh', 'tap', 'bct', 'masukin', 'kartunya', 'manual', 'pake', 'nomer', 'kartu'];['app', 'jaklingko', 'kalo', 'udh', 'tap', 'bct', 'masukin', 'kartu', 'manual', 'pake', 'nomer', 'kartu'];app jaklingko kalo udh tap bct masukin kartu manual pake nomer kartu;-1
8;zarqableue;akhirnya penumpang menumpuk mengular pernah tes aktivasi kartu bbrp pekan yg lalu balance reader jaklingko lemot  gate tj jg lemot masalah lain banyak yg saldonya kepotong berkalikali terutama di rute nbrt kepotong pas tap in kalau tap out di halte brt kepotong lagi ;"1,111111111";['akhirnya', 'penumpang', 'menumpuk', 'mengular', 'pernah', 'tes', 'aktivasi', 'kartu', 'bbrp', 'pekan', 'yg', 'lalu', 'balance', 'reader', 'jaklingko', 'lemot', 'gate', 'tj', 'jg', 'lemot', 'masalah', 'lain', 'banyak', 'yg', 'saldonya', 'kepotong', 'berkalikali', 'terutama', 'di', 'rute', 'nbrt', 'kepotong', 'pas', 'tap', 'in', 'kalau', 'tap', 'out', 'di', 'halte', 'brt', 'kepotong', 'lagi'];['penumpang', 'menumpuk', 'mengular', 'tes', 'aktivasi', 'kartu', 'bbrp', 'pekan', 'yg', 'balance', 'reader', 'jaklingko', 'lemot', 'gate', 'tj', 'jg', 'lemot', 'yg', 'saldonya', 'kepotong', 'berkalikali', 'rute', 'nbrt', 'kepotong', 'pas', 'tap', 'in', 'tap', 'out', 'halte', 'brt', 'kepotong'];['tumpang', 'tumpuk', 'ular', 'tes', 'aktivasi', 'kartu', 'bbrp', 'pekan', 'yg', 'balance', 'reader', 'jaklingko', 'lot', 'gate', 'tj', 'jg', 'lot', 'yg', 'saldo', 'potong', 'berkalikali', 'rute', 'nbrt', 'potong', 'pas', 'tap', 'in', 'tap', 'out', 'halte', 'brt', 'potong'];tumpang tumpuk ular tes aktivasi kartu bbrp pekan yg balance reader jaklingko lot gate tj jg lot yg saldo potong berkalikali rute nbrt potong pas tap in tap out halte brt potong;-1
9;zarqableue;plus orangorang jaklingko transjakarta yang buat sistem baru saldo terpotong pas tap out itu apa nggak mikirbahwa infrastruktur eticketing tj masih jauh di bawah kcimrtj masih banyak rute non brt masih banyak halte brt cuma punya  gate sistem blm beres udh direlease ;"2,222222222";['plus', 'orangorang', 'jaklingko', 'transjakarta', 'yang', 'buat', 'sistem', 'baru', 'saldo', 'terpotong', 'pas', 'tap', 'out', 'itu', 'apa', 'nggak', 'mikirbahwa', 'infrastruktur', 'eticketing', 'tj', 'masih', 'jauh', 'di', 'bawah', 'kcimrtj', 'masih', 'banyak', 'rute', 'non', 'brt', 'masih', 'banyak', 'halte', 'brt', 'cuma', 'punya', 'gate', 'sistem', 'blm', 'beres', 'udh', 'direlease'];['plus', 'orangorang', 'jaklingko', 'transjakarta', 'sistem', 'saldo', 'terpotong', 'pas', 'tap', 'out', 'nggak', 'mikirbahwa', 'infrastruktur', 'eticketing', 'tj', 'kcimrtj', 'rute', 'non', 'brt', 'halte', 'brt', 'gate', 'sistem', 'blm', 'beres', 'udh', 'direlease'];['plus', 'orangorang', 'jaklingko', 'transjakarta', 'sistem', 'saldo', 'potong', 'pas', 'tap', 'out', 'nggak', 'mikirbahwa', 'infrastruktur', 'eticketing', 'tj', 'kcimrtj', 'rute', 'non', 'brt', 'halte', 'brt', 'gate', 'sistem', 'blm', 'beres', 'udh', 'direlease'];plus orangorang jaklingko transjakarta sistem saldo potong pas tap out nggak mikirbahwa infrastruktur eticketing tj kcimrtj rute non brt halte brt gate sistem blm beres udh direlease;-1
10;starryshinx;mau tanya dongmoots yg dom jakarta kalau mau beli kartu jaklingko buat naik transjakarta bisa di halte nya langsung gak sih ;"0";['mau', 'tanya', 'dongmoots', 'yg', 'dom', 'jakarta', 'kalau', 'mau', 'beli', 'kartu', 'jaklingko', 'buat', 'naik', 'transjakarta', 'bisa', 'di', 'halte', 'nya', 'langsung', 'gak', 'sih'];['dongmoots', 'yg', 'dom', 'jakarta', 'beli', 'kartu', 'jaklingko', 'transjakarta', 'halte', 'nya', 'langsung', 'gak', 'sih'];['dongmoots', 'yg', 'dom', 'jakarta', 'beli', 'kartu', 'jaklingko', 'transjakarta', 'halte', 'nya', 'langsung', 'gak', 'sih'];dongmoots yg dom jakarta beli kartu jaklingko transjakarta halte nya langsung gak sih;0
