,id,link,author,description,source,favorite_count,retweet_count,lang,tweet_type,user_statuses_count,user_friends_count,user_followers_count,boost_value,token,re_stop,stem,join
2,3,https://twitter.com/ihsani_fauzan/statuses/1577575612491124736,ihsani_fauzan,nah iya emang ribetnya itu jadi sistem tarif integrasinya tu cashback ke app jaklingko ,Twitter for Android,0,0,in,reply,8051,265,163,0,"['nah', 'iya', 'emang', 'ribetnya', 'itu', 'jadi', 'sistem', 'tarif', 'integrasinya', 'tu', 'cashback', 'ke', 'app', 'jaklingko']","['iya', 'emang', 'ribetnya', 'sistem', 'tarif', 'integrasinya', 'tu', 'cashback', 'app', 'jaklingko']","['iya', 'emang', 'ribetnya', 'sistem', 'tarif', 'integrasi', 'tu', 'cashback', 'app', 'jaklingko']",iya emang ribetnya sistem tarif integrasi tu cashback app jaklingko
3,4,https://twitter.com/codefromcloud/statuses/1577575525136347136,codefromcloud,plus orangorang jaklingko transjakarta yang buat sistem baru saldo terpotong pas tap out itu apa nggak mikirbahwa infrastruktur eticketing tj masih jauh di bawah kcimrtj masih banyak rute non brt masih banyak halte brt cuma punya  gate sistem blm beres udh direlease ,Twitter for Android,0,2,in,retweet,1046,424,8,25,"['plus', 'orangorang', 'jaklingko', 'transjakarta', 'yang', 'buat', 'sistem', 'baru', 'saldo', 'terpotong', 'pas', 'tap', 'out', 'itu', 'apa', 'nggak', 'mikirbahwa', 'infrastruktur', 'eticketing', 'tj', 'masih', 'jauh', 'di', 'bawah', 'kcimrtj', 'masih', 'banyak', 'rute', 'non', 'brt', 'masih', 'banyak', 'halte', 'brt', 'cuma', 'punya', 'gate', 'sistem', 'blm', 'beres', 'udh', 'direlease']","['plus', 'orangorang', 'jaklingko', 'transjakarta', 'sistem', 'saldo', 'terpotong', 'pas', 'tap', 'out', 'nggak', 'mikirbahwa', 'infrastruktur', 'eticketing', 'rute', 'non', 'halte', 'gate', 'sistem', 'blm', 'beres', 'udh', 'direlease']","['plus', 'orangorang', 'jaklingko', 'transjakarta', 'sistem', 'saldo', 'potong', 'pas', 'tap', 'out', 'nggak', 'mikirbahwa', 'infrastruktur', 'eticketing', 'rute', 'non', 'halte', 'gate', 'sistem', 'blm', 'beres', 'udh', 'direlease']",plus orangorang jaklingko transjakarta sistem saldo potong pas tap out nggak mikirbahwa infrastruktur eticketing rute non halte gate sistem blm beres udh direlease
5,6,https://twitter.com/Randomt61609964/statuses/1577574918317047813,Randomt61609964,saya jg kaya gtu persis apa mesti diaktifin duku kartunya ya yg minta ditempel ke bct itu sumpah ribet bgt mesti download jaklingko trs download fellohalahhpadahal lbh gampang balikin aja duitnya tunai bukti pake histori transaksi ,Twitter for Android,1,0,in,reply,13543,1678,187,"0,534759358","['saya', 'jg', 'kaya', 'gtu', 'persis', 'apa', 'mesti', 'diaktifin', 'duku', 'kartunya', 'ya', 'yg', 'minta', 'ditempel', 'ke', 'bct', 'itu', 'sumpah', 'ribet', 'bgt', 'mesti', 'download', 'jaklingko', 'trs', 'download', 'fellohalahhpadahal', 'lbh', 'gampang', 'balikin', 'aja', 'duitnya', 'tunai', 'bukti', 'pake', 'histori', 'transaksi']","['jg', 'kaya', 'gtu', 'persis', 'mesti', 'diaktifin', 'duku', 'kartunya', 'ya', 'ditempel', 'bct', 'sumpah', 'ribet', 'mesti', 'download', 'jaklingko', 'trs', 'download', 'fellohalahhpadahal', 'lbh', 'gampang', 'balikin', 'aja', 'duitnya', 'tunai', 'bukti', 'pake', 'histori', 'transaksi']","['jg', 'kaya', 'gtu', 'persis', 'mesti', 'diaktifin', 'duku', 'kartu', 'ya', 'tempel', 'bct', 'sumpah', 'ribet', 'mesti', 'download', 'jaklingko', 'trs', 'download', 'fellohalahhpadahal', 'lbh', 'gampang', 'balikin', 'aja', 'duit', 'tunai', 'bukti', 'pake', 'histori', 'transaksi']",jg kaya gtu persis mesti diaktifin duku kartu ya tempel bct sumpah ribet mesti download jaklingko trs download fellohalahhpadahal lbh gampang balikin aja duit tunai bukti pake histori transaksi
6,7,https://twitter.com/ihsani_fauzan/statuses/1577574871953215488,ihsani_fauzan,di app jaklingko kalo udh tap di bct masukin kartunya manual pake nomer kartu ,Twitter for Android,0,0,in,reply,8051,265,163,0,"['di', 'app', 'jaklingko', 'kalo', 'udh', 'tap', 'di', 'bct', 'masukin', 'kartunya', 'manual', 'pake', 'nomer', 'kartu']","['app', 'jaklingko', 'kalo', 'udh', 'tap', 'bct', 'masukin', 'kartunya', 'manual', 'pake', 'nomer', 'kartu']","['app', 'jaklingko', 'kalo', 'udh', 'tap', 'bct', 'masukin', 'kartu', 'manual', 'pake', 'nomer', 'kartu']",app jaklingko kalo udh tap bct masukin kartu manual pake nomer kartu
7,8,https://twitter.com/zarqableue/statuses/1577573898102927360,zarqableue,akhirnya penumpang menumpuk mengular pernah tes aktivasi kartu bbrp pekan yg lalu balance reader jaklingko lemot  gate tj jg lemot masalah lain banyak yg saldonya kepotong berkalikali terutama di rute nbrt kepotong pas tap in kalau tap out di halte brt kepotong lagi ,Twitter for iPhone,1,0,in,reply,2053,881,90,"1,111111111","['akhirnya', 'penumpang', 'menumpuk', 'mengular', 'pernah', 'tes', 'aktivasi', 'kartu', 'bbrp', 'pekan', 'yg', 'lalu', 'balance', 'reader', 'jaklingko', 'lemot', 'gate', 'tj', 'jg', 'lemot', 'masalah', 'lain', 'banyak', 'yg', 'saldonya', 'kepotong', 'berkalikali', 'terutama', 'di', 'rute', 'nbrt', 'kepotong', 'pas', 'tap', 'in', 'kalau', 'tap', 'out', 'di', 'halte', 'brt', 'kepotong', 'lagi']","['penumpang', 'menumpuk', 'mengular', 'tes', 'aktivasi', 'kartu', 'bbrp', 'pekan', 'balance', 'reader', 'jaklingko', 'lemot', 'gate', 'jg', 'lemot', 'saldonya', 'kepotong', 'berkalikali', 'rute', 'nbrt', 'kepotong', 'pas', 'tap', 'in', 'tap', 'out', 'halte', 'kepotong']","['tumpang', 'tumpuk', 'ular', 'tes', 'aktivasi', 'kartu', 'bbrp', 'pekan', 'balance', 'reader', 'jaklingko', 'lot', 'gate', 'jg', 'lot', 'saldo', 'potong', 'berkalikali', 'rute', 'nbrt', 'potong', 'pas', 'tap', 'in', 'tap', 'out', 'halte', 'potong']",tumpang tumpuk ular tes aktivasi kartu bbrp pekan balance reader jaklingko lot gate jg lot saldo potong berkalikali rute nbrt potong pas tap in tap out halte potong
9,10,https://twitter.com/starryshinx/statuses/1577572574795399168,starryshinx,mau tanya dongmoots yg dom jakarta kalau mau beli kartu jaklingko buat naik transjakarta bisa di halte nya langsung gak sih ,Twitter for Android,0,0,in,original,2862,531,351,0,"['mau', 'tanya', 'dongmoots', 'yg', 'dom', 'jakarta', 'kalau', 'mau', 'beli', 'kartu', 'jaklingko', 'buat', 'naik', 'transjakarta', 'bisa', 'di', 'halte', 'nya', 'langsung', 'gak', 'sih']","['dongmoots', 'dom', 'jakarta', 'beli', 'kartu', 'jaklingko', 'transjakarta', 'halte', 'nya', 'langsung', 'gak', 'sih']","['dongmoots', 'dom', 'jakarta', 'beli', 'kartu', 'jaklingko', 'transjakarta', 'halte', 'nya', 'langsung', 'gak', 'sih']",dongmoots dom jakarta beli kartu jaklingko transjakarta halte nya langsung gak sih
12,13,https://twitter.com/nuhundanke/statuses/1577560098192658433,nuhundanke,gmaps buat arah jaklingko buat jaklingko mikro dan brt pun intended moovit buat brt dan non brt untuk kereta ikut masing perusahaan ribet ya ,Twitter Web App,1,0,in,reply,805,833,116,"0,862068966","['gmaps', 'buat', 'arah', 'jaklingko', 'buat', 'jaklingko', 'mikro', 'dan', 'brt', 'pun', 'intended', 'moovit', 'buat', 'brt', 'dan', 'non', 'brt', 'untuk', 'kereta', 'ikut', 'masing', 'perusahaan', 'ribet', 'ya']","['gmaps', 'arah', 'jaklingko', 'jaklingko', 'mikro', 'intended', 'moovit', 'non', 'kereta', 'perusahaan', 'ribet', 'ya']","['gmaps', 'arah', 'jaklingko', 'jaklingko', 'mikro', 'intended', 'moovit', 'non', 'kereta', 'usaha', 'ribet', 'ya']",gmaps arah jaklingko jaklingko mikro intended moovit non kereta usaha ribet ya
13,14,https://twitter.com/otwduls/statuses/1577559574327853056,otwduls,bayangkan jaklingko ga punya akun resmi twitter humasnya jaklingko juga tidak ada statementnya di sosmed ,Twitter for Android,0,5,in,retweet,16003,157,140,"3,571428571","['bayangkan', 'jaklingko', 'ga', 'punya', 'akun', 'resmi', 'twitter', 'humasnya', 'jaklingko', 'juga', 'tidak', 'ada', 'statementnya', 'di', 'sosmed']","['bayangkan', 'jaklingko', 'ga', 'akun', 'resmi', 'twitter', 'humasnya', 'jaklingko', 'statementnya', 'sosmed']","['bayang', 'jaklingko', 'ga', 'akun', 'resmi', 'twitter', 'humas', 'jaklingko', 'statementnya', 'sosmed']",bayang jaklingko ga akun resmi twitter humas jaklingko statementnya sosmed
14,15,https://twitter.com/opcei/statuses/1577557173915504641,opcei,wkwk naik jaklingko abangnya asik bgt biasanya galak galak  ,Twitter for Android,0,0,in,original,34824,387,564,0,"['wkwk', 'naik', 'jaklingko', 'abangnya', 'asik', 'bgt', 'biasanya', 'galak', 'galak']","['jaklingko', 'abangnya', 'asik', 'galak', 'galak']","['jaklingko', 'abang', 'asik', 'galak', 'galak']",jaklingko abang asik galak galak
15,16,https://twitter.com/Muhadi40420790/statuses/1577557031296577541,Muhadi40420790,seharusnya kartu registrasi nya di cek saldo bukannya di mesin tap in sy aja pakai kartu jaklingko dan plaz di krl ga ribet registrasi di cek saldo langsung bisa di pakai di krl ,Twitter Web App,0,0,in,reply,53,1,0,0,"['seharusnya', 'kartu', 'registrasi', 'nya', 'di', 'cek', 'saldo', 'bukannya', 'di', 'mesin', 'tap', 'in', 'sy', 'aja', 'pakai', 'kartu', 'jaklingko', 'dan', 'plaz', 'di', 'krl', 'ga', 'ribet', 'registrasi', 'di', 'cek', 'saldo', 'langsung', 'bisa', 'di', 'pakai', 'di', 'krl']","['kartu', 'registrasi', 'nya', 'cek', 'saldo', 'mesin', 'tap', 'in', 'sy', 'aja', 'pakai', 'kartu', 'jaklingko', 'plaz', 'krl', 'ga', 'ribet', 'registrasi', 'cek', 'saldo', 'langsung', 'pakai', 'krl']","['kartu', 'registrasi', 'nya', 'cek', 'saldo', 'mesin', 'tap', 'in', 'sy', 'aja', 'pakai', 'kartu', 'jaklingko', 'plaz', 'krl', 'ga', 'ribet', 'registrasi', 'cek', 'saldo', 'langsung', 'pakai', 'krl']",kartu registrasi nya cek saldo mesin tap in sy aja pakai kartu jaklingko plaz krl ga ribet registrasi cek saldo langsung pakai krl
