;Unnamed: 0;id;link;author;description;source;favorite_count;retweet_count;lang;tweet_type;user_statuses_count;user_friends_count;user_followers_count;"boost_value";cleaned;token;re_stop;stem;join;polarity
0;0;1;https://twitter.com/ballambinlove/statuses/1587394427420815360;ballambinlove;JakLingko Raih Penghargaan Best Integrated Transport System https://t.co/fpK3okqV6V;Twitter for Android;0;2;in;retweet;89494;760;1056;0.189393939;jaklingko raih penghargaan best integrated transport system;['jaklingko', 'raih', 'penghargaan', 'best', 'integrated', 'transport', 'system'];['jaklingko', 'raih', 'penghargaan', 'best', 'integrated', 'transport', 'system'];['jaklingko', 'raih', 'harga', 'best', 'integrated', 'transport', 'system'];jaklingko raih harga best integrated transport system;1
1;1;4;https://twitter.com/ambisiious/statuses/1587384821336023041;ambisiious;@yujimiini @Askrlfess Kayak kartu Flazz atau jaklingko ya kak?;Twitter for Android;0;0;in;reply;29883;354;446;0;kayak kartu flazz atau jaklingko ya kak;['kayak', 'kartu', 'flazz', 'atau', 'jaklingko', 'ya', 'kak'];['kayak', 'kartu', 'flazz', 'jaklingko', 'ya', 'kak'];['kayak', 'kartu', 'flazz', 'jaklingko', 'ya', 'kak'];kayak kartu flazz jaklingko ya kak;1
2;2;5;https://twitter.com/Jackv52349443/statuses/1587384279889285121;Jackv52349443;@aniesbaswedan @DKIJakarta @HarianDisway Emg bener sih... sjk awal 2019 punya kartu JakLingko smpai skrg, kalo dihitung2 udah bisa hemat ongkos sampai puluhan juta (mungkin). Rute JakLingko skrg udah 80-an seJkt dlm wkt 4 thn aja, gak cuma Bundaran HI-Lbk Bulus sama Pegangsaan-Velodrome yg sepi kaya org sebelah sono 😂;Twitter for Android;0;2;in;retweet;11495;412;358;0.558659218;emg bener sih sjk awal punya kartu jaklingko smpai skrg kalo dihitung udah bisa hemat ongkos sampai puluhan juta mungkin rute jaklingko skrg udah an sejkt dlm wkt thn aja gak cuma bundaran hilbk bulus sama pegangsaanvelodrome yg sepi kaya org sebelah sono;['emg', 'bener', 'sih', 'sjk', 'awal', 'punya', 'kartu', 'jaklingko', 'smpai', 'skrg', 'kalo', 'dihitung', 'udah', 'bisa', 'hemat', 'ongkos', 'sampai', 'puluhan', 'juta', 'mungkin', 'rute', 'jaklingko', 'skrg', 'udah', 'an', 'sejkt', 'dlm', 'wkt', 'thn', 'aja', 'gak', 'cuma', 'bundaran', 'hilbk', 'bulus', 'sama', 'pegangsaanvelodrome', 'yg', 'sepi', 'kaya', 'org', 'sebelah', 'sono'];['bener', 'sih', 'sjk', 'kartu', 'jaklingko', 'smpai', 'skrg', 'kalo', 'dihitung', 'udah', 'hemat', 'ongkos', 'puluhan', 'juta', 'rute', 'jaklingko', 'skrg', 'udah', 'an', 'sejkt', 'dlm', 'wkt', 'thn', 'aja', 'gak', 'bundaran', 'hilbk', 'bulus', 'pegangsaanvelodrome', 'sepi', 'kaya', 'org', 'sebelah', 'sono'];['bener', 'sih', 'sjk', 'kartu', 'jaklingko', 'smpai', 'skrg', 'kalo', 'hitung', 'udah', 'hemat', 'ongkos', 'puluh', 'juta', 'rute', 'jaklingko', 'skrg', 'udah', 'an', 'sejkt', 'dlm', 'wkt', 'thn', 'aja', 'gak', 'bundar', 'hilbk', 'bulus', 'pegangsaanvelodrome', 'sepi', 'kaya', 'org', 'belah', 'sono'];bener sih sjk kartu jaklingko smpai skrg kalo hitung udah hemat ongkos puluh juta rute jaklingko skrg udah an sejkt dlm wkt thn aja gak bundar hilbk bulus pegangsaanvelodrome sepi kaya org belah sono;1
3;3;7;https://twitter.com/SemutMerah2024/statuses/1587379471048642560;SemutMerah2024;Moment Pak @aniesbaswedan jd Sopir Angkot Jaklingko. https://t.co/c93iHKvCPv;Twitter for Android;0;0;in;original;4114;4515;4366;0;moment pak jd sopir angkot jaklingko;['moment', 'pak', 'jd', 'sopir', 'angkot', 'jaklingko'];['moment', 'jd', 'sopir', 'angkot', 'jaklingko'];['moment', 'jd', 'sopir', 'angkot', 'jaklingko'];moment jd sopir angkot jaklingko;1
4;4;8;https://twitter.com/abiarsaumar/statuses/1587378419821527040;abiarsaumar;@abdabbad @PutraErlangga95 Jaklingko yg merah lebih banyak tuh drun. Gak suruh ngecet aja jd biru semua🤣🤣🤣🤣🤣transjakarta mayoritas punya swasta ditempeli tulisan jaklingko dijadikan prestasi yg membagongkan. Kirain gratis beneran pake jaklingko🤣🤣🤣🤣;Twitter for Android;0;0;in;reply;14294;1898;1663;0;jaklingko yg merah lebih banyak tuh drun gak suruh ngecet aja jd biru semuatransjakarta mayoritas punya swasta ditempeli tulisan jaklingko dijadikan prestasi yg membagongkan kirain gratis beneran pake jaklingko;['jaklingko', 'yg', 'merah', 'lebih', 'banyak', 'tuh', 'drun', 'gak', 'suruh', 'ngecet', 'aja', 'jd', 'biru', 'semuatransjakarta', 'mayoritas', 'punya', 'swasta', 'ditempeli', 'tulisan', 'jaklingko', 'dijadikan', 'prestasi', 'yg', 'membagongkan', 'kirain', 'gratis', 'beneran', 'pake', 'jaklingko'];['jaklingko', 'merah', 'tuh', 'drun', 'gak', 'suruh', 'ngecet', 'aja', 'jd', 'biru', 'semuatransjakarta', 'mayoritas', 'swasta', 'ditempeli', 'tulisan', 'jaklingko', 'dijadikan', 'prestasi', 'membagongkan', 'kirain', 'gratis', 'beneran', 'pake', 'jaklingko'];['jaklingko', 'merah', 'tuh', 'drun', 'gak', 'suruh', 'ngecet', 'aja', 'jd', 'biru', 'semuatransjakarta', 'mayoritas', 'swasta', 'tempel', 'tulis', 'jaklingko', 'jadi', 'prestasi', 'bagong', 'kirain', 'gratis', 'beneran', 'pake', 'jaklingko'];jaklingko merah tuh drun gak suruh ngecet aja jd biru semuatransjakarta mayoritas swasta tempel tulis jaklingko jadi prestasi bagong kirain gratis beneran pake jaklingko;1
5;5;9;https://twitter.com/PT_Transjakarta/statuses/1587373566890221568;PT_Transjakarta;"@AgusRachmanto12 Hai Kak. Mohon maaf atas kendala yang dialami, mengenai saldo terpotong 2 kali, silakan laporkan ke nomor Customer Care JakLingko yang dapat di hubungi :
📱 (Whatsapp) : 0812-6000-1440
☎️ (Phone) : 021-29223034
📩 (Email) : customercare@jaklingkoindonesia.co.id. Terima kasih ^Ap";Genesys Social Engagement.;0;0;in;reply;430084;22;482400;0;hai kak mohon maaf atas kendala yang dialami mengenai saldo terpotong kali silakan laporkan ke nomor customer care jaklingko yang dapat di hubungi whatsapp phone email terima kasih ap;['hai', 'kak', 'mohon', 'maaf', 'atas', 'kendala', 'yang', 'dialami', 'mengenai', 'saldo', 'terpotong', 'kali', 'silakan', 'laporkan', 'ke', 'nomor', 'customer', 'care', 'jaklingko', 'yang', 'dapat', 'di', 'hubungi', 'whatsapp', 'phone', 'email', 'terima', 'kasih', 'ap'];['hai', 'kak', 'mohon', 'maaf', 'kendala', 'dialami', 'saldo', 'terpotong', 'kali', 'silakan', 'laporkan', 'nomor', 'customer', 'care', 'jaklingko', 'hubungi', 'whatsapp', 'phone', 'email', 'terima', 'kasih', 'ap'];['hai', 'kak', 'mohon', 'maaf', 'kendala', 'alami', 'saldo', 'potong', 'kali', 'sila', 'lapor', 'nomor', 'customer', 'care', 'jaklingko', 'hubung', 'whatsapp', 'phone', 'email', 'terima', 'kasih', 'ap'];hai kak mohon maaf kendala alami saldo potong kali sila lapor nomor customer care jaklingko hubung whatsapp phone email terima kasih ap;0
6;6;10;https://twitter.com/akucintaistriku/statuses/1587372627148279808;akucintaistriku;"Klo Pak Anies melakukan pengawasan lsg program beliau JakLingko, klo Pak Ganjar ya lg buat vlog aja buat kepentingan medsos.
Cuman ya namanya pendukung kita dasarnya kecintaan, tanpa melihat rekam jejak, dll. https://t.co/LqHOMKwtuL";Twitter for Android;0;0;in;quote;596;413;5;0;klo pak anies melakukan pengawasan lsg program beliau jaklingko klo pak ganjar ya lg buat vlog aja buat kepentingan medsos cuman ya namanya pendukung kita dasarnya kecintaan tanpa melihat rekam jejak dll;['klo', 'pak', 'anies', 'melakukan', 'pengawasan', 'lsg', 'program', 'beliau', 'jaklingko', 'klo', 'pak', 'ganjar', 'ya', 'lg', 'buat', 'vlog', 'aja', 'buat', 'kepentingan', 'medsos', 'cuman', 'ya', 'namanya', 'pendukung', 'kita', 'dasarnya', 'kecintaan', 'tanpa', 'melihat', 'rekam', 'jejak', 'dll'];['klo', 'anies', 'pengawasan', 'lsg', 'program', 'beliau', 'jaklingko', 'klo', 'ganjar', 'ya', 'lg', 'vlog', 'aja', 'kepentingan', 'medsos', 'cuman', 'ya', 'namanya', 'pendukung', 'dasarnya', 'kecintaan', 'rekam', 'jejak', 'dll'];['klo', 'anies', 'awas', 'lsg', 'program', 'beliau', 'jaklingko', 'klo', 'ganjar', 'ya', 'lg', 'vlog', 'aja', 'penting', 'medsos', 'cuman', 'ya', 'nama', 'dukung', 'dasar', 'cinta', 'rekam', 'jejak', 'dll'];klo anies awas lsg program beliau jaklingko klo ganjar ya lg vlog aja penting medsos cuman ya nama dukung dasar cinta rekam jejak dll;1
7;7;11;https://twitter.com/franksugimoto/statuses/1587371966335709184;franksugimoto;@HELLODIMAS Angkot Jaklingko 10A td naik di masjid BUMN;Twitter for iPhone;0;0;in;reply;1592;120;103;0;angkot jaklingko a td naik di masjid bumn;['angkot', 'jaklingko', 'a', 'td', 'naik', 'di', 'masjid', 'bumn'];['angkot', 'jaklingko', 'a', 'td', 'masjid', 'bumn'];['angkot', 'jaklingko', 'a', 'td', 'masjid', 'bumn'];angkot jaklingko a td masjid bumn;0
8;8;12;https://twitter.com/herybertuz/statuses/1587366349730246658;herybertuz;@Dee_iaz @PT_Transjakarta komplain 2x kepotong di respon dengan diberikan kartu jaklingko isi 50rb 👍🏽 https://t.co/zzUKLnXzvL;Twitter for Android;0;0;in;reply;17856;419;808;0;komplain kepotong di respon dengan diberikan kartu jaklingko isi rb;['komplain', 'kepotong', 'di', 'respon', 'dengan', 'diberikan', 'kartu', 'jaklingko', 'isi', 'rb'];['komplain', 'kepotong', 'respon', 'kartu', 'jaklingko', 'isi', 'rb'];['komplain', 'potong', 'respon', 'kartu', 'jaklingko', 'isi', 'rb'];komplain potong respon kartu jaklingko isi rb;1
9;9;13;https://twitter.com/bhangantho/statuses/1587364471336763393;bhangantho;@aniesbaswedan @DKIJakarta @HarianDisway Karya pak Anis monumenatau tugu,ganti nama jalan,formula e bisa juga jaklingko.kalau yg lain itu kelanjutan dari yg dulu cuma ganti nama dan tambah biaya.;Twitter for Android;0;0;in;reply;1329;2;1;0;karya pak anis monumenatau tuguganti nama jalanformula e bisa juga jaklingkokalau yg lain itu kelanjutan dari yg dulu cuma ganti nama dan tambah biaya;['karya', 'pak', 'anis', 'monumenatau', 'tuguganti', 'nama', 'jalanformula', 'e', 'bisa', 'juga', 'jaklingkokalau', 'yg', 'lain', 'itu', 'kelanjutan', 'dari', 'yg', 'dulu', 'cuma', 'ganti', 'nama', 'dan', 'tambah', 'biaya'];['karya', 'anis', 'monumenatau', 'tuguganti', 'nama', 'jalanformula', 'e', 'jaklingkokalau', 'kelanjutan', 'ganti', 'nama', 'biaya'];['karya', 'anis', 'monumenatau', 'tuguganti', 'nama', 'jalanformula', 'e', 'jaklingkokalau', 'lanjut', 'ganti', 'nama', 'biaya'];karya anis monumenatau tuguganti nama jalanformula e jaklingkokalau lanjut ganti nama biaya;1
